Larval_ID,Sex,Family,Full_Treatment,Photo_Treatment,Diet_Treatment,5th_Day,Photo_Day,Blocking_Day,Devo_Time,Eclosion_Date,Devo_Time2,Gray_Value_R,Gray_Value_G,Gray_Value_B,Avg_Gray,Avg_Gray_2,Darkness,Percent_R,Percent_G,Percent_B,Avg_Percent,Avg_Percent_Melanin,Total_Melanin_Metric,Notes
T231,M,34,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/4/23,8,6/28/23,24,14.583,14.310,16.327,15.073,14.447,14.554,11.417,11.892,18.614,13.974,11.655,203.375,used photo b
T232,F,34,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/4/23,8,6/28/23,24,14.541,14.292,16.444,15.092,14.417,14.584,14.737,14.980,23.223,17.647,14.859,257.350,
T233,,34,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,,,,,14.316,13.872,13.827,14.005,14.094,14.906,13.223,13.847,17.735,14.935,13.535,222.621,
T234,,34,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,,,,,16.440,15.882,18.225,16.849,16.161,12.839,7.690,8.014,14.007,9.904,7.852,127.153,
T235,,25,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,,,,,18.276,17.766,21.001,19.014,18.021,10.979,3.550,3.721,9.076,5.449,3.636,59.825,used photo b
T236,,25,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/5/23,9,,,14.403,14.216,15.882,14.834,14.310,14.691,16.020,16.556,24.319,18.965,16.288,278.605,died as pupa
T237,M,25,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/3/23,7,6/26/23,23,13.760,13.654,14.332,13.915,13.707,15.293,18.827,19.439,26.034,21.433,19.133,327.780,pupa severe deform
T238,M,25,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/4/23,8,6/28/23,24,14.381,14.014,14.142,14.179,14.198,14.803,25.520,26.759,34.806,29.028,26.140,429.692,"pupa short wings, used photo b"
T239,,34,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,,,,,15.055,14.831,16.435,15.440,14.943,14.057,13.549,13.790,20.576,15.972,13.670,224.514,used photo a
T240,,34,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,,,,,12.532,11.589,14.637,12.919,12.061,16.940,14.478,13.874,23.188,17.180,14.176,291.021,used photo a
T241,,34,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,,,,,13.844,13.433,16.331,14.536,13.639,15.362,14.754,14.901,24.489,18.048,14.828,277.244,
T242,,34,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,,,,,15.529,15.235,15.943,15.569,15.382,13.618,13.791,13.910,18.947,15.549,13.851,211.751,
T243,,25,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,,,,,14.868,14.551,16.970,15.463,14.710,14.291,9.727,9.986,16.564,12.092,9.857,172.805,
T244,,25,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,,,,,16.531,15.847,18.380,16.919,16.189,12.811,6.486,6.163,10.832,7.827,6.325,100.272,
